020|a	LOCATION	NOTE(ITEM)	BARCODE
9781611683523 (cloth : alk. paper);1611683521 (cloth : alk. paper);9781611683530 (ebook);161168353X (ebook)	xmb  		30000001985831
0684844958 (pbk.) :;9780684844954 (pbk.)	xmb  		30000001985112
0253002265 (v. 2, pt. A : hardcover : alk. paper);9780253002266 (v. 2, pt. A : hardcover : alk. paper);0253002273 (v. 2, pt. B : hardcover : alk. paper);9780253002273 (v. 2, pt. B : hardcover : alk. paper);0253355990 (v. 2 set : hardcover : alk. paper);9780253355997 (v. 2 set : hardcover : alk. paper)	x2mb 		30000001985120
0253002265 (v. 2, pt. A : hardcover : alk. paper);9780253002266 (v. 2, pt. A : hardcover : alk. paper);0253002273 (v. 2, pt. B : hardcover : alk. paper);9780253002273 (v. 2, pt. B : hardcover : alk. paper);0253355990 (v. 2 set : hardcover : alk. paper);9780253355997 (v. 2 set : hardcover : alk. paper)	x2mb 		30000001985161
9780538482608;0538482605	xmb  		30000001985153
9780736074155 (soft cover);0736074155 (soft cover)	xmb  		30000001985146
1590512375;9781590512371	xmb  		30000001985138
9781584657613 (cloth : alk. paper);1584657618 (cloth : alk. paper);9781584657620 (pbk. : alk. paper);1584657626 (pbk. : alk. paper);9781611683622 (ebook);1611683629 (ebook)	xmb  		30000001985179
9780812244663 (hardcover : alk. paper);0812244664 (hardcover : alk. paper)	xmb  		30000001985187
9780465020119  (Basic Books pbk.);0465020119  (Basic Books pbk.)	xmb  		30000001985195
9780815341055 (hardcover);0815341059 (hardcover);0815341067 (pbk.);9780815341062 (pbk.);0815341105;9780815341109;0815341113 (hc);9780815341116 (hc)	xmb  		30000001985104
9780691133348 (cloth : alk. paper);0691133344 (cloth : alk. paper);9780691154916 (pbk. : alk. paper);0691154910 (pbk. : alk. paper)	x2mb 		30000001985203
9780874479829 (pbk.) :;0874479827 (pbk.) :	x2mb 		30000001985211
9780226859392 (hardcover : alkaline paper);0226859398 (hardcover : alkaline paper)	xmb  		30000001985229
9780292743618 (alk. paper);0292743610 (alk. paper)	xmb  		30000001985237
9781118361771 (pbk.);1118361776 (pbk.);1118361771 (pbk.)	xmb  		30000001985245
0062064010;9780062064011	xmb  		30000001985286
9780742567399 (alk. paper);0742567397 (alk. paper);9780742567412 (ebook);0742567419 (ebook)	xmb  		30000001985278
9780807407905 (pbk.);0807407909 (pbk.)	xmb  		30000001985252
9780674068148 (hardcover);0674068149 (hardcover)	xmb  		30000001985260
9781107024601 (hardback);1107024609 (hardback);9781107690912 (pbk.);1107690919 (pbk.)	xmb  		30000001985294
9780375423307 (hbk.);0375423303 (hbk.);9781400078790 (pbk.);1400078792 (pbk.)	xmb  		30000001985302
9781107028098 (hardback);1107028094 (hardback);9781107609174 (paperback);1107609178 (paperback)	xmb  		30000001985310
9780199895571 (alk. paper);0199895570 (alk. paper)	xmb  		30000001985328
9780199915996 (cloth : alk. paper);0199915997 (cloth : alk. paper)	xmb  		30000001985336
9780525952671 (hardback);0525952675 (hardback)	xmb  		30000001985344
9780804774048 (cloth : alk. paper);0804774048 (cloth : alk. paper)	xmb  		30000001985351
9780199922901 (cloth : alk. paper);019992290X (cloth : alk. paper)	xmb  		30000001985369
9780521732444 (pbk.);0521732441 (pbk.)	xmb  		30000001985401
9780814417874 (hardcover);0814417876 (hardcover)	xmb  		30000001985393
9780292717770 (cloth : alk. paper);0292717776 (cloth : alk. paper);9780292739185 (e-book);0292739184 (e-book)	xmb  		30000001985385
9781598531961 (alk. paper);1598531964 (alk. paper)	xmb  		30000001985377
9780691155692 (cloth : alk. paper);0691155690 (cloth : alk. paper)	xmb  		30000001985419
9780691138602 (hardcover);0691138605 (hardcover)	xmb  		30000001985427
9780262017671 (hardcover : alk. paper);0262017679 (hardcover : alk. paper)	xmb  		30000001985435
9780300136593 (hardback);0300136595 (hardback)	xmb  		30000001985443
9780300149418 (hbk. : alk. paper);0300149417 (hbk. : alk. paper)	xmb  		30000001985484
9780061965531;0061965537;9780061965548 (pbk.);0061965545 (pbk.);9780062079381 (e-book);0062079387 (e-book)	xmb  		30000001985476
0880013699;9780880013697;0880013699;9780880014427;0880014423	xmb  		30000001985468
9780465023998 (hardcover : alk. paper);0465023991 (hardcover : alk. paper);0465033032 (e-book);9780465033034 (e-book)	xmb  		30000001985526
9780803240766 (cloth : alk. paper);0803240767 (cloth : alk. paper)	xmb  		30000001985450
9781594036392 (hardcover : alk. paper);159403639X (hardcover : alk. paper);9781594036521 (ebook);1594036527 (ebook)	xmb  		30000001985518
9781604190687 (hardcover);160419068X (hardcover)	xmb  		30000001985500
9780226645742 (cloth : alkaline paper);0226645746 (cloth : alkaline paper)	xmb  		30000001985492
9780199920303 (cloth : alk. paper);0199920303 (cloth : alk. paper)	xmb  		30000001985534
9780385524483 (alk. paper);038552448X (alk. paper)	xmb  		30000001985567
9780309212366 (pbk.);0309212367 (pbk.);9780309212373 (pdf);0309212375 (pdf)	xmt  	rec. 021213	30000002498628
9781442600393 (pbk.);144260039X (pbk.)	xmt  	rec. 021213	30000002499022
9781118176917 (pbk.);111817691X (pbk.)	xmt  	rec. 021213	30000002499014
9781409449317 (hardback : alk. paper);1409449319 (hardback : alk. paper);9781409449324 (ebook);1409449327 (ebook)	xmt  	rec. 021213	30000002498586
9780826108296;0826108296	xmt  	rec. 021213	30000002498867
9780415672610 (hardback);0415672619 (hardback);9780203105658 (ebook);0203105656 (ebook)	xmt  	rec. 021213	30000002497422
9780745654010 (pbk.);0745654010 (pbk.);9780745654003;0745654002	xmt  	rec. 021213	30000002498263
9781849052603 (alk. paper);1849052603 (alk. paper)	xmt  	rec. 021213	30000002497752
9781118176948 (pbk.);1118176944 (pbk.)	xmt  	rec. 021213	30000002498750
9780826108111 (pbk.);0826108113 (pbk.);9780826108128 (pbk.);0826108121 (pbk.)	xmt  	rec. 021213	30000002498719
9781849050265 (alk. paper);1849050260 (alk. paper)	xmt  	rec. 021213	30000002497174
9781849050968 (alk. paper);1849050961 (alk. paper)	xmt  	rec. 021213	30000002498255
9780333948026 (pbk.);0333948025 (pbk.)	xmt  	rec. 021213	30000002497059
9780826106353 (hardcopy : alk. paper);0826106358 (hardcopy : alk. paper);9780826106360 (ebook);0826106366 (ebook)	xmt  	rec. 021213	30000002497133
9781849052061 (alk. paper);1849052069 (alk. paper)	xmt  	rec. 021213	30000002499139
9781449632137 (pbk. : alk. paper);1449632130 (pbk. : alk. paper);1449673007;9781449673000	xmt  	rec. 021213	30000002498636
9781433810688;1433810689	xmt  	rec. 021213	30000002498420
9780415542692 (pbk.);0415542693 (pbk.)	xmt  	rec. 021213	30000002498438
9781118176955 (pbk. : alk. paper);1118176952 (pbk. : alk. paper);9781118264898 (ebk.);1118264894 (ebk.);9781118240205 (ebk.);1118240200 (ebk.);9781118227237 (ebk.);1118227239 (ebk.)	xmt  	rec. 021213	30000002498446
9780230293854 (pbk.);0230293859 (pbk.)	xmt  	rec. 021213	30000002498701
9781847422804 (hbk.);1847422802 (hbk.);9781847422798 (pbk.);1847422799 (pbk.)	xmt  	rec. 021213	30000002498743
9780313398889 (hard copy : alk. paper);0313398887 (hard copy : alk. paper)	xmt  	rec. 021213	30000002498792
9780840029119;084002911X	xvmt 	rec. 021213	30000002498909
9780826109101;0826109101	xmt  	rec. 021213	30000002498081
9781461436607 (hbk.);1461436605 (hbk.)	xmt  	rec. 021213	30000002497000
9780840029140;0840029144	xmt  	rec. 021213	30000002498305
9781452205809 (pbk.);1452205809 (pbk.)	xmt  	rec. 021213	30000002498354
9780073526522 (alk. paper);0073526525 (alk. paper);9780071280730 (back cover);0071280731 (back cover)	xmt  	rec. 021213	30000002498941
9789655401165;9655401162	xmt  	rec. 021213	
9789652263742;9652263745	xmt  	rec. 021213	
9789652272461;9652272469;9789652272584 (v. 4);9652272582 (v. 4);9789652272836 (v. 5);9652272833 (v. 5);9789652272836 (v. 6);9652272833 (v. 6);9789652272911 (v. 7);9652272914 (v. 7)	xmt  	rec. 021213	
9789652272461;9652272469;9789652272584 (v. 4);9652272582 (v. 4);9789652272836 (v. 5);9652272833 (v. 5);9789652272836 (v. 6);9652272833 (v. 6);9789652272911 (v. 7);9652272914 (v. 7)	xmt  	rec. 021213	
9780078024351 (alk. paper);0078024358 (alk. paper)	xmt  	rec. 021213	30000002498107
9781593856977 (hbk. : alk. paper);1593856970 (hbk. : alk. paper)	xmt  	rec. 021213	30000002498123
	xmt  	rec. 021213	
9780878934942 (hardcover);0878934944 (hardcover)	xmt  	rec. 021213	30000002498982
9781461421030 (pbk. : acid-free paper);1461421039 (pbk. : acid-free paper)	xmt  	rec. 021213	30000002497869
9789654560542;9654560542	xmt  	rec. 021213	
	xmt  	rec. 021213	
9789655410235;9655410234	xmt  	rec. 021213	
9789654170437;9654170434	xmt  	rec. 021213	
9780415620307 (hardback);0415620309 (hardback);9780415620314 (pbk.);0415620317 (pbk.);9780203121443 (ebook);0203121449 (ebook)	xmt  	rec. 021213	30000002497794
9780415899383 (hardback);0415899389 (hardback);9780415899390;0415899397;9780203095966;0203095960	xmt  	rec. 021213	30000002498677
9781441189851 (hardback);1441189858 (hardback);9781441197740 (paperback);1441197745 (paperback)	xmt  	rec. 021213	30000002498826
9781433105593 (pbk. : alk. paper);1433105594 (pbk. : alk. paper);9781433105586 (hbk. : alk. paper);1433105586 (hbk. : alk. paper)	xmt  	rec. 021213	30000002498669
9780807752715 (pbk. : alk. paper);0807752711 (pbk. : alk. paper);9780807752722 (hardcover : alk. paper);080775272X (hardcover : alk. paper)	xmt  	rec. 021213	30000002496762
9780415875950 (hardback);0415875951 (hardback)	xmt  	rec. 021213	30000002498412
9781466615595 (hbk.);1466615591 (hbk.);9781466615601 (ebook);1466615605 (ebook);9781466615618 (print & perpetual access);1466615613 (print & perpetual access)	xmt  	rec. 021213	30000002499105
9780415882231 (hbk.);0415882230 (hbk.);9780415506090 (pbk.);0415506093 (pbk.);9780203117927 (ebook);0203117921 (ebook)	xmt  	rec. 021213	30000002497281
9781423901785 (hbk.);1423901789 (hbk.)	xmt  	rec. 021213	30000002499147
9781466600324 (hbk.);1466600322 (hbk.);9781466600331 (ebook);1466600330 (ebook);9781466600348 (print & perpetual access);1466600349 (print & perpetual access)	xmt  	rec. 021213	30000002499063
9781423901327  (pbk.);1423901320 (pbk.)	xmt  	rec. 021213	30000002498313
9780470533017 (pbk.);0470533013 (pbk.);0470646209 (pbk);9780470646205 (pbk)	xmt  	rec. 021213	30000002498974
9780132828932 (alk. paper);0132828936 (alk. paper)	xmt  	rec. 021213	30000002498321
9789400723238;9400723237	xmt  	rec. 021213	30000002496804
9781441152329 (hardcover : alk. paper);1441152326 (hardcover : alk. paper)	xmt  	rec. 021213	30000002497315
9780415881470 (alk. paper);0415881471 (alk. paper);9780415881487 (pbk. : alk. paper);041588148X (pbk. : alk. paper);9780203848203 (ebk);0203848209 (ebk)	xmt  	rec. 021213	30000002498099
9780124160460 (hbk.);0124160468 (hbk.)	xmt  	rec. 021213	30000002498784
1466930578;9781466930575;1466930586;9781466930582	xmt  	rec. 021213	30000002497901
9789654560610;9654560615	xmt  	rec. 021213	
	xmt  	rec. 021213	
	xmt  	rec. 021213	
	xmt  	rec. 021213	
	xmt  	rec. 021213	
9780465029969;0465029965	xis  		30000001889520
9781594036354 (hardcover : alk. paper);1594036357 (hardcover : alk. paper)	xis  		30000001889512
9780393072235;0393072231	xis  		30000001889561
9781439055717;1439055718;1111319782;9781111319786	xis  		30000001889538
0307459691 (pbk.) :;9780307459695 (pbk.) :	xis  		30000001889587
9780307272164 (hbk.);0307272168 (hbk.)	xis  		30000001889546
0674445449	xis  		30000001889595
0451526562 (pbk.) :;9780451526564 (pbk.)	xis  		30000001889579
9781401897253 (softbound : alk. paper);1401897258 (softbound : alk. paper)	xwb  		30000001501406
1879960680 (v. 1, pbk. : alk. paper);187996077X (v. 2);9781879960770 (v. 2) 	xwb  		30000002186009
0029108004;9780029108000	xwb  		30000002187239
9781412843065 (hardcover);1412843065 (hardcover)	xmt  	rec. 021213	30000002497216
9781442213364 (cloth : alk. paper);1442213361 (cloth : alk. paper);9781442213388 (electronic);1442213388 (electronic)	xmt  	rec. 021213	30000002497091
9780538744928;0538744928;9780538471589 (ISE);0538471581 (ISE)	xmt  	rec. 021213	30000002498347
0321694503;9780321694508;9780321699107;0321699106;0321782682;9780321782687	xvmt 	rec. 021213	30000002498297
9781111969608;1111969604;9781133526797 (instructor's ed);1133526799 (instructor's ed)	xmt  	rec. 021213	30000002498289
9781444350395 (pbk.);1444350390 (pbk.)	xmt  	rec. 021213	30000002395303
9780538745789 (pbk.);0538745789 (pbk.);9780538797610 (pbk., intl. ed.);0538797614 (pbk., intl. ed.)	xmt  	rec. 021213	30000002499188
9781118123751 (pbk.);1118123751 (pbk.)	xmt  	rec. 021213	30000002497372
9781442217799 (cloth : alk. paper);1442217790 (cloth : alk. paper);9781442217805 (pbk. : alk. paper);1442217804 (pbk. : alk. paper);9781442217812 (electronic);1442217812 (electronic)	xmt  	rec. 021213	30000002499097
9780470683668 (pbk.);047068366X (pbk.)	xmt  	rec. 021213	30000002497331
9780742529649 (pbk. : alk. paper);0742529649 (pbk. : alk. paper)	xmt  	rec. 021213	30000002498271
9780321534040 (pbk.);0321534042 (pbk.)	xmt  	rec. 021213	30000002498339
9780631207849 (cloth);0631207848 (cloth);9781118281529 (pbk.);1118281527 (pbk.)	xmt  	rec. 021213	30000002497182;30000002497182
9781405192408 (hardback);1405192402 (hardback);9781405192392 (paperback);1405192399 (paperback)	xmt  	rec. 021213	30000002497257
9781442214156 (cloth : alk. paper);1442214155 (cloth : alk. paper);9781442214170 (ebook);1442214171 (ebook)	xmt  	rec. 021213	30000002497026
9780132838733 (pbk.);0132838737 (pbk.)	xmt  	rec. 021213	30000002499170
9780844772325 (cloth);0844772321 (cloth);9780844772332 (paper);084477233X (paper)	xmt  	rec. 021213	30000002497109
9781442204270 (cloth : alk. paper);1442204273 (cloth : alk. paper);9781442204287 (pbk. : alk. paper);1442204281 (pbk. : alk. paper);9781442204294 (electronic);144220429X (electronic)	xmt  	rec. 021213	30000002497224
9780262017459 (hbk. : alk. paper);0262017458 (hbk. : alk. paper)	xmt  	rec. 021213	30000002499055
9781442207691 (pbk. : alk. paper);1442207698 (pbk. : alk. paper)	xmt  	rec. 021213	30000002497992
	xmt  	rec. 021213	
	xmt  	rec. 021213	
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xbs  	rec. 021313	30000002439895
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xbh  	rec. 021313	30000001253867
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xb4  	rec. 021313	30000002258808
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xb5  	rec. 021313	30000001171259
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xbb  	rec. 021313	30000002030165
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xbw  	rec. 021313	30000002233710
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xfh  	rec. 021313	
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xkg  	rec. 021313	
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xkh  	rec. 021313	30000002378549
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xmt  	rec. 021313	30000002496663
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xmw  	rec. 021313	30000002511883
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xsc  	rec. 021313	 30000001439870
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xmw  	rec. 021313	
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xwb  	rec. 021313	30000002540064
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xwb  	rec. 021313	30000002540056
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xla  	rec. 021313	30000001675291
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xmb  	rec. 021313	30000001986383
9789652263971;9652263974	xmt  	rec. 021213	
9789655360691 (v.1);9655360695 (v.1);9789655360707 (v. 2);9655360709 (v. 2)	xmt  	rec. 021213	
9789655360691 (v.1);9655360695 (v.1);9789655360707 (v. 2);9655360709 (v. 2)	xmt  	rec. 021213	
9789652263797;9652263796	xmt  	rec. 021213	
9789655455045;9655455041	xmt  	rec. 021213	
9789650719975;9650719970	xmt  	rec. 021213	
9789652272867;9652272868	xmt  	rec. 021213	
9789652173331;9652173339	xmt  	rec. 021213	
9789659035694;9659035691	xmt  	rec. 021213	
	xmt  	rec. 021213	
9789652351609;9652351601	xmt  	rec. 021213	
9789652173430;9652173436	xmt  	rec. 021213	
9650903070;9789650903077	xmt  	rec. 021213	
9780807835302 (cloth : alk. paper);0807835307 (cloth : alk. paper)	xmw  	rec. 021213	30000002515041
9780393081626 (hardcover);0393081621 (hardcover)	xmw  	rec. 021213	30000002511727
9781609186388 (hardback);1609186389 (hardback)	xmw  	rec. 021213	30000002515207
9780292717770 (cloth : alk. paper);0292717776 (cloth : alk. paper);9780292739185 (e-book);0292739184 (e-book)	xmw  	rec. 021213	30000002514713
9781591844600;1591844606	xmw  	rec. 021213	30000002514606
9780230115712 (hardback);0230115713 (hardback)	xmw  	rec. 021213	30000002514754
9780802778116;0802778119	xmw  	rec. 021213	30000002514648
9780226284026 (alk. paper);0226284026 (alk. paper)	xmw  	rec. 021213	30000002514689
9780812243765 (hardcover : alk. paper);0812243765 (hardcover : alk. paper)	xmw  	rec. 021213	30000002514721
9780262017398 (hbk. : alk. paper);0262017393 (hbk. : alk. paper)	xmw  	rec. 021213	30000002514762
9780674055162 (alk. paper);0674055160 (alk. paper);9780674064980 (ebook);0674064984 (ebook)	xmw  	rec. 021213	30000002514846
9781607099482 (hardback);1607099489 (hardback);9781607099499 (paper);1607099497 (paper);9781607099505 (electronic);1607099500 (electronic)	xmw  	rec. 021213	30000002514804
9780071791090 (alk. paper);0071791094 (alk. paper)	xmw  	rec. 021213	30000002514796
9780199862078 (cloth : acid-free paper);0199862079 (cloth : acid-free paper);9780199862061 (pbk. : acid-free paper);0199862060 (pbk. : acid-free paper)	xmw  	rec. 021213	30000002514960
9780691156675 (hardcover : alk. paper);0691156670 (hardcover : alk. paper)	xmw  	rec. 021213	30000002514929
9780199812639 (cloth : acid-free paper);0199812632 (cloth : acid-free paper)	xmw  	rec. 021213	30000002514887
9780230296404 (pbk.);0230296408 (pbk.)	xmw  	rec. 021213	30000002511768
9781412846066;1412846064	xmw  	rec. 021213	30000002515165
9780307272690;0307272699	xmw  	rec. 021213	30000002511917
9780674052260 (alk. paper);0674052269 (alk. paper)	xmw  	rec. 021213	30000002515009
9780804778749 (cloth : alk. paper);0804778744 (cloth : alk. paper);9780804778756 (pbk. : alk. paper);0804778752 (pbk. : alk. paper)	xmw  	rec. 021213	30000002514671
9781107027916 (hardback);1107027918 (hardback);9781107665811 (paperback);1107665817 (paperback)	xmw  	rec. 021213	30000002514630
9781595580467;1595580468	xmw  	rec. 021213	30000002511875
9780761855255 (pbk. : alk. paper);0761855254 (pbk. : alk. paper)	xmw  	rec. 021213	30000002511842
9780199548811 (alk. paper);0199548811 (alk. paper)	xmw  	rec. 021213	30000002511834
9780205859078 (casebound : alk. paper);0205859070 (casebound : alk. paper);0205861792;9780205861798	xmw  	rec. 021213	30000002514879
9780521514187 (hardback);0521514185 (hardback)	xmw  	rec. 021213	30000002514911
9780415600576 (hardback);041560057X (hardback);9780415600583 (pbk);0415600588 (pbk);9780203145609 (ebk);0203145607 (ebk)	xmw  	rec. 021213	30000002515124
9789380028767 (pbk.);9380028768 (pbk.)	xmw  	rec. 021213	30000002514838
9781433811494 (hbk.);1433811499 (hbk.)	xmw  	rec. 021213	30000002514598
9781602802285 (hardcover);1602802289 (hardcover);1602802211 (paperback);9781602802216 (paperback)	xmt  	rec. 021313	30000002496705
069706428X (pbk.)	xmt  	rec. 021413 reassigned from HR	30000000425748
031241305X (pbk.)	xmt  	rec. 021413 reassigned from HR	30000002388951
9780963869548;096386954X	xmt  	rec. 021413	30000002402604
9780963869517;0963869515	xmt  	rec. 021413	30000002403586
0451528271 (pbk.) :;9780451528278 (pbk.)	xbs  	rec. 021413	
9781442210684 (cloth : alk. paper);1442210680 (cloth : alk. paper);9781442210691 (pbk. : alk. paper);1442210699 (pbk. : alk. paper)	xmt  	rec. 021913	
9780840028549;0840028547	xmt  	Put on reserve;rec. 021913	
9781847421173 (hbk.);1847421172 (hbk.);9781847421166 (pbk.);1847421164 (pbk.)	xmt  	rec. 021913	30000002497679
9781935049470 (hc : alk. paper);193504947X (hc : alk. paper)	xmt  	rec. 021913	30000002497554
9780415613293 (hbk.);0415613299 (hbk.);9780203112083 (ebook);0203112083 (ebook)	xmt  	rec. 021913	30000002497356
9780415563796 (hardback);0415563798 (hardback);9780415563802 (pbk.);0415563801 (pbk.);9780203119655 (ebook);0203119657 (ebook)	xmt  	rec. 021913	30000002496960
9780415603935 (hbk);0415603935 (hbk);9780415625050 (pbk.);041562505X (pbk.);9780203105115 (ebk);0203105117 (ebk)	xmt  	rec. 021913	30000002498149
9781442214569 (cloth : alk. paper);1442214562 (cloth : alk. paper);9781442214583 (electronic);1442214589 (electronic)	xmt  	rec. 021913	30000002496689
9781849051767 (alk. paper);1849051763 (alk. paper)	xmt  	rec. 021913	30000002496846
9781926692883;1926692888	xmt  	rec. 021913	30000002496721
9781848609945 (hbk.);1848609949 (hbk.);9781848609952 (pbk.);1848609957 (pbk.)	xmt  	rec. 021913	
9780857253194 (hbk.);0857253190 (hbk.);0857258303;9780857258304	xmt  	rec. 021913	
9781462505401 (hbk. : alk. paper);1462505406 (hbk. : alk. paper)	xmt  	rec. 021913	
9781446256732 (cloth);1446256731 (cloth);9780857259912 (pbk.);0857259911 (pbk.)	xmt  	rec. 021913	
9780415481120 (hardback);0415481120 (hardback);9780415481137 (pbk.);0415481139 (pbk.);9780203136515 (ebook);0203136519 (ebook)	xmt  	rec. 021913	
9780840028556 (hbk.);0840028555 (hbk.)	xmt  	rec. 021913	
9780132627504;0132627507	xmt  	rec. 021913	
9780230293847;0230293840	xmt  	rec. 021913	
9780230297944;0230297943	xmt  	rec. 021913	30000002496887
9780132657976;013265797X;9780132941778 (pbk.);0132941775 (pbk.)	xmt  	rec. 021913	
9781462506323 (pbk.);1462506321 (pbk.)	xmt  	rec. 021913	
9780323084338 (pbk. : alk. paper);0323084338 (pbk. : alk. paper)	xmt  	rec. 021913	
9780205011544;0205011543;9780205032815;0205032818;020524162X (International ed.);9780205241620 (International ed.)	xvmt 	rec. 021913	30000002496929
9780205827091 (alk. paper);0205827098 (alk. paper)	xmt  	rec. 021913	30000002497596
9789888083787 (pbk.);9888083783 (pbk.)	xmt  	rec. 021913	30000002497638
9781118176924 (pbk.);1118176928 (pbk.)	xmt  	rec. 021913	30000002497711
0399514902 :;1439510377;9781439510377	xbb  	rec. 021913	30000002029217
9780840029164;0840029160	xbb  	rec. 021913	30000002029720
9781412995290 (pbk.);1412995299 (pbk.)	xbb  	rec. 021913	30000002029506
9780205842339;020584233X;0205248152;9780205248155	xbb  	rec. 021913	30000002030041
9781111833633 (hbk. : student ed.);111183363X (hbk. : student ed.);9781111834838 (loose-leaf);1111834830 (loose-leaf)	xbb  	rec. 021913	30000002030405
9781439824818 (hardback);1439824819 (hardback)	xbb  	rec. 021913	00002029555
9780132929103;0132929104	xbb  	rec. 021913	30000002029134
9781111841096 (hbk.);1111841098 (hbk.);1133936385;9781133936381	xbb  	rec. 021913	30000002030322
9780132438490;0132438496;9780205253456 (instructor's review copy);0205253458 (instructor's review copy);0205868622;9780205868629	xbb  	rec. 021913	30000002029795
9780199827428;0199827427	xbb  	rec. 021913	30000002030363
9781412987318 (pbk. : acid-free paper);1412987318 (pbk. : acid-free paper)	xbb  	rec. 021913	30000002030124
9781111581565;1111581568	xbb  	rec. 021913	30000002029654
9780132167123;0132167123	xbb  	rec. 021913	30000002029738
9780195432985;0195432983	xbb  	rec. 021913	30000002030249
9780132729949;0132729946	xbb  	rec. 021913	30000002029845
9780757555985;0757555985	xbb  	rec. 021913	30000002029266
9780393929065 (pbk.);039392906X (pbk.);9780393067156 (hbk.);0393067157 (hbk.)	xbb  	rec. 021913	30000002029639
9780739143971 (cloth : alk. paper);0739143972 (cloth : alk. paper);9780739143995 (electronic);0739143999 (electronic)	xbb  	rec. 021913	30000002029969
0312432836;9780312432836	xbb  	rec. 021913	30000002029381
9780739166666 (cloth : alk. paper);0739166662 (cloth : alk. paper);9780739166697 (ebk.);0739166697 (ebk.)	xbb  	rec. 021913	30000002030082
0786880252;9780786880256	xbb  	rec. 021913	30000002029589
9780205827190;0205827195	xbb  	rec. 021913	30000002029688
9781412991711 (pbk.);1412991714 (pbk.)	xbb  	rec. 021913	30000002029183
9781111835811 (pbk.);1111835810 (pbk.);9781111841287 (loose-leaf ed.);1111841284 (loose-leaf ed.)	xbb  	rec. 021913	30000002029530
9781111837426 (pbk.);1111837422 (pbk.)	xbb  	rec. 021913	30000002029613
9781412977708 (pbk.);1412977703 (pbk.)	xbb  	rec. 021913	30000002029571
9780132697156 (pbk.);0132697157 (pbk.)	xbb  	rec. 021913	30000002029662
9781118380581 (cloth);1118380584 (cloth)	xbw  	rec. 022013	30000002233769
9780878933389;0878933387	xbb  	rec. 021913	30000002029332
9780205820047 (pbk. : student ed.);0205820042 (pbk. : student ed.);9780205820061 (Instructor ed.);0205820069 (Instructor ed.);0205176801;9780205176809	xbb  	rec. 021913	30000002029647
9780132626163;0132626160;9780132927932 (pbk.);0132927934 (pbk.)	xvbb 	rec. 021913	30000002029548
9781111830663;1111830665;9781111834517 (loose-leaf ed.);1111834512 (loose-leaf ed.)	xbb  	rec. 021913	30000002030280
9780143038580;0143038583	xbb  	rec. 021913	30000002029928
9781429282543;1429282541	xvbb 	rec. 021913	30000002029597
9780132685153;0132685159;9780132951296 (pbk.);0132951290 (pbk.);0132892979;9780132892971	xbb  	rec. 021913	30000002029423
9781563685071 (hard cover : alk. paper);1563685078 (hard cover : alk. paper);9781563685088 (e-book);1563685086	xbb  	rec. 021913	30000002029290
9781462504992 (hardback);146250499X (hardback)	xbb  	rec. 021913	30000002029621
9780132685757 (pbk.);0132685752 (pbk.)	xbb  	rec. 021913	30000002029746
9780324181425 (pbk. : student ed. with CD);0324181426 (pbk. : student ed. with CD);9781133589075 (student ed.);1133589073 (student ed.);9781133589099 (CD-ROM);113358909X (CD-ROM)	xbb  	rec. 021913	30000002029456
9781133625902 (pbk.);1133625908 (pbk.);9781133627012 (pbk.);1133627013 (pbk.)	xbb  	rec. 021913	30000002029696
9780470912072 (paper);0470912073 (paper)	xbb  	rec. 021913	30000002029142
9780415990578 (hardback : alk. paper);0415990572 (hardback : alk. paper);9780415990585 (pbk. : alk. paper);0415990580 (pbk. : alk. paper);9780203832387 (ebook);0203832388 (ebook)	xbb  	rec. 021913	30000002029464
9780073402673 (hard copy : alk. paper);0073402672 (hare copy : alk. paper)	xbb  	rec. 021913	30000002029308
9780131827738;0131827731	xbb  	rec. 021913	30000002029803
