020|a	LOCATION	NOTE(ITEM)	BARCODE
9781457604751 (pbk.);1457604752 (pbk.)	xbh  	rec. 010813	30000001253453
0823920801 (lib. bdg.);9780823920808 (lib. bdg.)	xmt  		30000000435309
9780205260232;0205260233	xbh  	rec. 010813	30000001253651
9780205036998;0205036996	xbh  	rec. 010813	30000001253891
9781111830298 (pbk.);1111830290 (pbk.)	xbh  	rec. 010813	30000001253610
0495115770;9780495115779	xbh  	rec. 010813	30000001253412
9789400711730 (hard cover : alk. paper);9400711735 (hard cover : alk. paper);9789400711747 (ebook);9400711743 (ebook)	xbh  	rec. 010813	30000001253305
9780415598705 (hbk. : alk. paper);0415598702 (hbk. : alk. paper);9780415598712 (pbk. : alk. paper);0415598710 (pbk. : alk. paper);9780203801994 (ebook);0203801997 (ebook)	xbh  	rec. 010813	30000001253784
9781111829568 (pbk.);111182956X (pbk.)	xbh  	rec. 010813	30000001253883
9780205216338;0205216331	xbh  	rec. 010813	30000001253339
9781412999557 (pbk.);1412999553 (pbk.)	xbh  	rec. 010813	30000001253909
9780195379617 (hardcover : alk. paper);0195379616 (hardcover : alk. paper)	xbh  	rec. 010813	30000001253826
9780757597602;0757597602	xbh  	rec. 010813	30000001253420
0195138643 (cloth : alk. paper);9780195138641 (cloth : alk. paper);0195138651 (pbk. : alk. paper);9780195138658 (pbk. : alk. paper)	xbh  	rec. 010813	30000001253461
9780205441013 (pbk.);0205441017 (pbk.)	xbh  	rec. 010813	30000001253669
9780132626125;0132626128	xbh  	rec. 010813	30000001253701
9780132857123;013285712X;9780133041705;0133041700	xbh  	rec. 010813	30000001253818
1468561359;9781468561357	xbh  	rec. 010813	30000001253628
9780415526906 (hardback);0415526906 (hardback);9780415526937 (pbk.);0415526930 (pbk.);9780203119198 (ebook);0203119193 (ebook)	xbh  	rec. 010813	30000001253388
9780826107343 (pbk. : alk. paper);0826107346 (pbk. : alk. paper);9780826107350 (e-book);0826107354 (e-book)	xbh  	rec. 010813	30000001253537
9780538481700;0538481706	xbh  	rec. 010813	30000001253495
9780078029356 (alk. paper);007802935X (alk. paper)	xbh  	rec. 010813	30000001253545
9780132685153;0132685159;9780132951296 (pbk.);0132951290 (pbk.);0132892979;9780132892971	xbh  	rec. 010813	30000001253503
9781429243285;1429243287;9781429243322;1429243325	xbh  	rec. 010813	30000001253578
9781585624010 (pbk. : alk. paper);1585624012 (pbk. : alk. paper)	xbh  	rec. 010813	30000001253347
9780230246409 (alk. paper);0230246400 (alk. paper)	xbh  	rec. 010813	30000001253859
9780470129159 (hardback);0470129158 (hardback)	xbh  	rec. 010813	30000001253743
9781579129071 (pbk.);1579129072 (pbk.)	xbh  	rec. 010813	30000001253370
9781439082485 (pbk.);1439082480 (pbk.)	xbh  	rec. 010813	30000001253925
9781455726974;1455726974	xbs  	rec. 010813	30000002437410
9780323084659 (pbk. : alk. paper);0323084656 (pbk. : alk. paper)	xbs  	rec. 010813	30000002437543
9781437725438 (pbk.);1437725430 (pbk.)	xvbs 	rec. 010813	30000002437501
9780803615274;0803615272	xbs  	rec. 010813	30000002441057
9780205698349 (pbk.);0205698344 (pbk.)	xwb  	gift of David Levy	
0029046300	xwb  	gift of David Levy	
0470233478 (hbk.);9780470233474 (hbk.);0470084715 (hbk.);9780470084717 (hbk.)	xvwb 	gift of Jean Wells	
0025472909;9780025472907	xwb  	gift of David Levy	
0809482002;9780809482009	xwb  	gift of David Levy	
0275948749 (alk. paper);0275948757 (pbk. : alk. paper)	xwb  	gift of David Levy	
9781907816239;1907816232	xbs  	rec. 010813	30000002437428
9780071745192 (pbk. : alk. paper);007174519X (pbk. : alk. paper);9780071792905 (intl. ed.);0071792902 (intl. ed.)	x2bs 	rec. 010813	30000002437519
9781107681590 (pbk.);1107681596 (pbk.)	xbs  	rec. 010813	30000002437477
9780415614979 (hardback);041561497X (hardback);9780415614986 (pbk);0415614988 (pbk);9780203133040 (ebk);0203133048 (ebk)	xbs  	rec. 010813	30000002437295
9781846195112 (pbk.);184619511X (pbk.)	xbs  	rec. 010813	30000002437741
9780763781170 (pbk. : alk. paper);0763781177 (pbk. : alk. paper)	x2bs 	rec. 010813	30000002437626
9780071766982 (pbk.);0071766987 (pbk.);9780071792837 (international ed.);007179283X (international ed.)	xbs  	rec. 010813	30000002437824
9780132897648;0132897644	xbs  	rec. 010813	30000002437303
9781107020801 (hardback);1107020808 (hardback)	xbs  	rec. 010813	30000002437469
9780387878867 (alk. paper);0387878866 (alk. paper);9780387878874 (ebook);0387878874 (ebook)	xbs  	rec. 010813	30000002437865
9781451144093 (alk. paper);1451144091 (alk. paper)	xbs  	rec. 010813	30000002437584
9780470654521 (pbk. : alk. paper);047065452X (pbk. : alk. paper)	xbs  	rec. 010813	30000002437337
9781111186777 (hardback);1111186774 (hardback);9781111770617 (advantage loose-leaf edition);1111770611 (advantage loose-leaf edition)	xbs  	rec. 010813	30000002437782
9781609133603 (pbk. : alk. paper);1609133609 (pbk. : alk. paper)	xvbs 	rec. 010813	30000002437345
9780323059138 (hardcover : alk. paper);0323059139 (hardcover : alk. paper)	xbs  	rec. 010813	30000002437709
9780073378169 (alk. paper);007337816X (alk. paper)	x2bs 	rec. 010813	30000002437378
9781592643240;1592643248	xla  		30000001674567
0140481389;9780140481389	xla  		30000001674427
9781410441287 (lg. print : hbk. : alk. paper);1410441288 (lg. print : hbk. : alk. paper)	xla  		30000001674286
9780307587954;0307587959	xla  		30000001674203
9781841697352 (hbk.);1841697354 (hbk.)	xla  		30000001674401
9780970805089;097080508X	xla  		30000001674112
9781611450484 (alk. paper);1611450489 (alk. paper)	xla  		30000001671886
9780446584975 (regular edition);0446584975 (regular edition);9781455504121 (large print edition);1455504122 (large print edition)	xla  		30000001671878
0306810506;9780306810503	xla  		30000001671969
9780307716897;0307716899	xla  		30000001671142
9781401324254;1401324258	xla  		30000001671159
9780307265647;0307265641	xla  		30000001674310
9781594202988;1594202982	xla  		30000001672116
9781606236222 (hardcover);1606236229 (hardcover)	xla  		30000001671837
0714861189 (hbk.);9780714861180 (hbk.)	xla  		30000001671118
9780393062304 (hardcover);0393062309 (hardcover)	xla  		30000001670920
9780061721502;0061721506	xla  		30000001670912
9781592643226;1592643221	xla  		30000001674153
9789652294999;9652294993	xla  		30000001674245
9781608320851 (hc);1608320855 (hc)	xla  		30000001674336
9780312600136;0312600135	xla  		30000001674419
9780230545267;0230545262	xla  		30000001674450
9781604135732 (hardcover : alk. paper);1604135735 (hardcover : alk. paper)	xla  		30000001674328
9780691139951 (hbk. : alk. paper);0691139954 (hbk. : alk. paper);9781400836000 (e-book);140083600X (e-book)	xla  		30000001674351
9781609181826 (hbk. : alk. paper);1609181824 (hbk. : alk. paper)	xla  		30000001675317
9780205819966;0205819966	xb4  	rec. 010813	30000002258741
9781111822941 (pbk.);1111822948 (pbk.);0538452862;9780538452861 	xb4  	rec. 010813	30000002258782
9780205216338;0205216331	xb4  	rec. 010813	30000002258717
9780123944245 (pbk.);0123944244 (pbk.)	xb4  	rec. 010813	30000002258774
9781599214962;1599214962;9781599219684;1599219689	xb4  	rec. 010813	30000002258691
1590171179 (trade paper : alk. paper);9781590171172 (trade paper : alk. paper)	xb4  	rec. 010813	30000002258766
9780078029271 (pbk. : alk. paper);0078029279 (pbk. : alk. paper)	xb4  	rec. 010813	30000002258758
9781477249161;1477249168	xb4  	rec. 010813	30000002258709
9781568815800 (hbk.);1568815808 (hbk.)	xb4  	rec. 010813	30000002258683
9780375711572;0375711570	xb4  	rec. 010813	30000002258725
9780132844123 (alk. paper);0132844125 (alk. paper)	xb4  	rec. 010813	30000002258733
9781613500590 (hardcover);1613500599 (hardcover);9781613500606 (ebook);1613500602 (ebook);9781613500613 (print & perpetual access);1613500610 (print & perpetual access)	xbs  	rec. 010813	30000002437733
9780495913603 (student edition);049591360X	xbs  	rec. 010813	30000002440984
9780078117169 (pbk. : acid-free paper);007811716X (pbk. : acid-free paper)	xbs  	rec. 010813	30000002437618
9780137071302 (alk. paper);0137071302 (alk. paper)	xbs  	rec. 010813	30000002437675
9781405176019 (pbk. : alk. paper);1405176016 (pbk. : alk. paper)	xvbs 	rec. 010813	30000002437535
9780323079426 (pbk. : alk. paper);0323079423 (pbk. : alk. paper);9780808924357 (international ed. : pbk. : alk. paper);0808924354 (international ed. : pbk. : alk. paper)	x2bs 	rec. 010813	30000002440620
9781617110702 (alk. paper);1617110701 (alk. paper)	x2bs 	rec. 010813	30000002440661
9781405157001 (pbk. : alk. paper);1405157003 (pbk. : alk. paper)	xbs  	rec. 010813	30000002437899
9780736087100 (hard cover);0736087109 (hard cover)	xbs  	rec. 010813	30000002437816
9780133024692;0133024695	xbs  	rec. 010813	30000002437857
9781437719369 (hbk.);1437719368 (hbk.)	xbs  	rec. 010813	30000002437774
9780323075862 (hardcover : alk. paper);032307586X (hardcover : alk. paper)	xvbs 	rec. 010813	30000002440612
1449672124;9781449672126	xbs  	rec. 010813	30000002440935
9780071768542 (pbk.);0071768548 (pbk.);9780071792851 (international ed.);0071792856 (international ed.)	xbs  	rec. 010813	30000002437907
9781598571943 (case);159857194X (case)	xvbs 	rec. 010813	30000002437717
9781429283601;1429283602	xbs  	rec. 010813	30000002440810
9781455706167 (pbk.);1455706167 (pbk.)	xbs  	rec. 010813	30000002440653
9781111640088 (pbk);1111640084 (pbk);1111640106;9781111640101	xbs  	rec. 010813	30000002440737
9780803617162 (pbk. : alk. paper);080361716X (pbk. : alk. paper)	xbs  	rec. 010813	30000002440695
9780826109309;0826109306;9780826109316 (e-book);0826109314 (e-book)	xbs  	rec. 010813	30000002440497
9781446201343 (hbk.);1446201341 (hbk.);9781446201350 (pbk.);144620135X (pbk.)	xbs  	rec. 010813	30000002437667
9781412847629;1412847621	xbs  	rec. 010813	30000002440539
9781462504817 (alk. paper);1462504817 (alk. paper)	xbs  	rec. 010813	30000002440570
9780195396430 (alk. paper);019539643X (alk. paper)	xbs  	rec. 010813	30000002440778
9781133490715;1133490719	xbs  	rec. 010813	30000002440877
9780415526906 (hardback);0415526906 (hardback);9780415526937 (pbk.);0415526930 (pbk.);9780203119198 (ebook);0203119193 (ebook)	xbs  	rec. 010813	30000002440521
9780132658096;0132658097	xbs  	rec. 010813	30000002437766
9780205483501 (hardcover);020548350X (hardcover)	xvbs 	rec. 010813	30000002437725
9780807753484 (hardcover : acid-free paper);0807753483 (hardcover : acid-free paper);9780807753477 (pbk. : alk. paper);0807753475 (pbk. : alk. paper)	xbs  	rec. 010813	30000002437659
9780415883009 (hardback);0415883008 (hardback);9780415883016 (paperback);0415883016 (paperback);0203846265 (ebook);9780203846261 (ebook)	xbs  	rec. 010813	30000002440562
9780132689687;0132689685	xbs  	rec. 010813	30000002437642
9781605540733 (pbk.);1605540730 (pbk.)	xbs  	rec. 010813	30000002441065
9780415503723 (pbk. : alk. paper);0415503728 (pbk. : alk. paper)	xbs  	rec. 010813	30000002441024
9780415687133 (hardback);0415687136 (hardback);9780415687140 (paperback);0415687144 (paperback);9780203694947 (ebook);0203694945 (ebook)	xbs  	rec. 010813	30000002437592
9780415890731 (hardback : alk. paper);041589073X (hardback : alk. paper);9780415890748 (pbk. : alk. paper);0415890748 (pbk. : alk. paper);9780203829158 (ebk.);0203829158 (ebk.)	xbs  	rec. 010813	30000002437881
9780205096541 (Student version (Case));0205096549 (Student version (Case));9780205242603 (Student version (Paper));020524260X (Student version (Paper));9780205096572 (Instructor's review Copy);0205096573 (Instructor's review Copy);9780205096657 (A La carte version);0205096654 (A La carte version)	xvbs 	rec. 010813	30000002441107
9789400743038;9400743033	xbs  	rec. 010813	30000002437600
9780415871099 (hardcover : alk. paper);0415871093 (hardcover : alk. paper);9780415871105 (pbk. : alk. paper);0415871107 (pbk. : alk. paper)	xbs  	rec. 010813	30000002437451
9781598849561 (paperback : acid-free paper);1598849565 (paperback : acid-free paper)	xbs  	rec. 010813	30000002437923
9781111344498 (student ed. : pbk.);1111344493 (student ed. : pbk.)	xvbs 	rec. 010813	30000002437550
9781429282543;1429282541	xvbs 	rec. 010813	30000002440976
9781462504992 (hardback);146250499X (hardback)	xbs  	rec. 010813	30000002437840
9780857453259 (hardback : alk. paper);0857453254 (hardback : alk. paper);9780857453266 (ebook);0857453262 (ebook)	xbs  	rec. 010813	30000002437808
9780230115804 (hc);0230115802 (hc);9781137268549 (pbk);1137268549 (pbk)	xbs  	rec. 010813	30000002440836
9781111839970 (alk. paper : hbk.);1111839972 (alk. paper : hbk.)	xbs  	rec. 010813	30000002440851
9781935542575 (perfect bound);1935542575 (perfect bound);9781935542582 (library edition);1935542583 (library edition)	xbs  	rec. 010813	30000002437691
9780716756675 (hbk.);0716756676 (hbk.)	xvbs 	rec. 010813	30000002440893
9780312642860 (student ed. : alk. paper);0312642865 (student ed. : alk. paper);9780312678869 (se with the essential guide to rhetoric (bound in) : alk. paper);031267886X (se with the essential guide to rhetoric (bound in) : alk. paper)	xbs  	rec. 010813	30000002437386
9781594202773 (hbk.);159420277X (hbk.)	xb5  	rec. 011813	0000001170152
9781422177815 (alk. paper);1422177815 (alk. paper)	xb5  	rec. 011813	30000001170194
9780674055445;0674055446	xb5  	rec. 011813	30000001170814
	xvwb 	Reassigned from MT 1/28/13.;rec. 011713	30000002393266
9780415672511 (hbk.);0415672511 (hbk.)	x2b5 	rec. 011813	3000000117068
9781841698786 (hbk);1841698784 (hbk)	xb5  	rec. 011813	30000001170442
9781422133323 (hbk. : alk. paper);142213332X (hbk. : alk. paper)	xb5  	rec. 011813	30000001170111
9780826118080 (alk. paper);0826118089 (alk. paper);9780826118097 (e-book);0826118097 (e-book)	xb5  	rec. 011813	30000001170236
9780674027381 (pbk.);0674027388 (pbk.)	xb5  	rec. 011813	30000001170400
9781585623853 (pbk. : alk. paper);1585623857 (pbk. : alk. paper)	xb5  	rec. 011813	30000001169642
9781400069286 (alk. paper);1400069289 (alk. paper);9780679603856 (ebook);0679603859 (ebook)	xb5  	rec. 011813	30000001170244
9780230113817;0230113818	xb5  	rec. 011813	30000001170772
9780857453228 (hardback : alk. paper);085745322X (hardback : alk. paper)	xb5  	rec. 011813	30000001170202
9780670026265;0670026263	xb5  	rec. 011813	30000001170285
9781594203008 (hardback);1594203008 (hardback)	xb5  	rec. 011813	30000001170319
9780312604219 (hardcover);0312604211 (hardcover)	xb5  	rec. 011813	30000001170129
9781591844877 (hbk.);1591844878 (hbk.)	xb5  	rec. 011813	30000001170160
9780805093070 (hc);0805093079 (hc)	xb5  	rec. 011813	30000001170392
9780691142630 (hardcover : acid-free paper);0691142637 (hardcover : acid-free paper)	xb5  	rec. 011813	30000001170350
9780071770521 (pbk. : alk. paper);0071770526 (pbk. : alk. paper)	xb5  	rec. 011813	30000001170640
9780307386779 (pbk.);0307386775 (pbk.)	xb5  	rec. 011813	30000001169535
9780814757437 (cl : alk. paper);081475743X (cl : alk. paper);9780814757444 (pb : alk. paper);0814757448 (pb : alk. paper);9780814763452 (ebook);0814763456 (ebook);9780814763469 (ebook);0814763464 (ebook)	xb5  	rec. 011813	30000001169691
0312683006 (v.1);9780312683009 (v.1);0312683014 (v.2);9780312683016 (v.2);0312682999 (combined ed.);9780312682996 (combined ed.)	xb5  	rec. 011813	
9780691150277 (hc. : acid-free paper);0691150273 (hc. : acid-free paper)	xb5  	rec. 011813	30000001171218
9780307719560 (pbk.);0307719561 (pbk.);9780307719577 (e-ISBN);030771957X (e-ISBN)	xb5  	rec. 011813	30000001170723
9781611682304 (cloth : alk. paper);1611682304 (cloth : alk. paper);9781611682311 (pbk. : alk. paper);1611682312 (pbk. : alk. paper);9781611682328 (ebook);1611682320 (ebook)	xb5  	rec. 011813	30000001170681
9780132173254;0132173255	xb5  	rec. 011813	30000001169972
9781591397823 (hardcover : alk. paper);1591397820 (hardcover : alk. paper)	xb5  	rec. 011813	30000001170939
9780470584729 (hardback);0470584726 (hardback)	xb5  	rec. 011813	30000001170897
9780804777469 (cloth : alk. paper);0804777462 (cloth : alk. paper)	xb5  	rec. 011813	30000001170855
9780374203030 (hbk.);0374203032 (hbk.)	xb5  	rec. 011813	30000001170277
9781874774839;1874774838	xb5  	rec. 011813	30000001169733
9780774821926 (bound);0774821922 (bound)	xb5  	rec. 011813	30000001170061
9780821389423;0821389424;9780821389430 (electronic);0821389432 (electronic)	xb5  	rec. 011813	30000001169543
0495915890 (v. 1);9780495915898 (v. 1);0495915904 (v. 2);9780495915904 (v. 2)	xvb5 	rec. 011813	30000001170020
9780805091038;0805091033	xb5  	rec. 011813	30000001169899
9781596987852;1596987855	xb5  	rec. 011813	30000001169980
9781451607253 (hbk.);1451607253 (hbk.)	xb5  	rec. 011813	30000001170012
9780230115934;0230115934	xb5  	rec. 011813	30000001169618
9780393707472 (pbk.);0393707474 (pbk.)	xb5  	rec. 011813	30000001170327
9781603445863 (cloth : alk. paper);1603445862 (cloth : alk. paper);9781603446563 (pbk. : alk. paper);1603446567 (pbk. : alk. paper);9781603446570 (e-book);1603446575 (e-book);9781603446587 (e-book);1603446583 (e-book)	xb5  	rec. 011813	30000001170434
9780812974478;0812974476	xb5  	rec. 011813	30000001169741
9780143121312;0143121316	xb5  	rec. 011813	30000001169709
9780143119586 (pbk);0143119583	xb5  	rec. 011813	30000001169824
9781605098135 (pbk.);1605098132 (pbk.)	xb5  	rec. 011813	30000001169907
9780393339758;0393339750	xb5  	rec. 011813	30000001169865
9780062060242 (pbk.);0062060244 (pbk.)	xb5  	rec. 011813	30000001169782
9780896727359 (hbk. : alk. paper);0896727351 (hbk. : alk. paper)	xb5  	rec. 011813	30000001170483
9780878202539;0878202536	xb5  	rec. 011813	30000001169949
9780073385600 (alk. paper);0073385603 (alk. paper)	xb5  	rec. 011813	30000001170525
161145414X;9781611454147	xmw  	rec. 011813	30000002511644
9780199567935 (alk. paper);019956793X	xmw  	rec. 011813	30000002511396
9780132658096;0132658097	xmw  	rec. 011813	30000002511511
9780132612388 (pbk.);0132612380 (pbk.);9780132985321 (pbk.);0132985322 (pbk.)	xmw  	rec. 011813	30000002511628
9780470584866 (pbk.);0470584866 (pbk.)	xmw  	rec. 011813	30000002511701
9780199592722;0199592721	xmw  	rec. 011813	30000002511966
9781107016378 (hbk.);1107016371 (hbk.);9781107602403 (pbk.);1107602408 (pbk.)	xmw  	rec. 011813	30000002511925
9780124159617;0124159613	xmw  	rec. 011813	30000002512006
9780415524377 (alk. paper);0415524377 (alk. paper);9780415524384 (alk. paper);0415524385 (alk. paper);0203111109 (ebk);9780203111109 (ebk)	xmw  	rec. 011813	30000002511958
